,Brewery,Style,Name,ReviewsNumber,OverallReview,Aroma,Appearance,Palate,Taste,BeerABV,PersonalRating,Comment,Favorite
699,Brew Moon Restaurant & Microbrewery,Scotch Ale / Wee Heavy,Brew Moon 90 Schilling Scotch Ale,972172801.0,3.5,4.0,3.5,3.5,4.0,8.0,-1,Unfilled,False
700,John Harvard's Brewery & Ale House,Russian Imperial Stout,Imperial Stout,1154186579.0,4.0,3.5,4.5,3.5,3.0,-1.0,-1,Unfilled,False
701,John Harvard's Brewery & Ale House,Weizenbock,Presidential Weizenbock,982886401.0,4.0,4.0,3.5,4.0,4.5,-1.0,-1,Unfilled,False
702,Unibroue,Belgian Pale Ale,Raftman,1114477521.0,4.5,3.5,3.5,4.0,4.0,5.5,-1,Unfilled,False
703,"Bell's Brewery, Inc.",American Amber / Red Ale,Bell's Amber Ale,1171251826.0,3.5,3.5,3.5,3.0,4.0,5.8,-1,Unfilled,False
704,Berkshire Brewing Company Inc.,American Barleywine,Holidale,1102040898.0,4.5,4.0,4.5,4.0,5.0,9.5,-1,Unfilled,False
705,"Paper City Brewery Co., Inc.",Irish Dry Stout,Riley's Stout,1167965800.0,4.5,4.0,4.5,4.5,4.0,5.5,-1,Unfilled,False
706,Saint Ides Brewing Company,American Malt Liquor,St. Ides High Gravity Malt Liquor,1060220492.0,3.0,3.0,3.5,3.0,3.0,8.2,-1,Unfilled,False
707,Radeberger Exportbierbrauerei,German Pilsener,Radeberger Pilsner,1169837384.0,3.0,3.0,3.0,3.0,3.0,4.8,-1,Unfilled,False
708,Sapporo Breweries Ltd.,Dortmunder / Export Lager,Yebisu (premium),1234496754.0,3.5,4.0,4.0,4.5,3.5,5.0,-1,Unfilled,False
709,Sprecher Brewing Company,Hefeweizen,Hefe Weiss,1217651562.0,4.5,5.0,4.0,4.5,4.5,4.2,-1,Unfilled,False
710,Goose Island Beer Co.,Oatmeal Stout,Smooth Oatmeal Stout,1023596449.0,4.0,4.0,4.0,3.5,4.0,-1.0,-1,Unfilled,False
711,Goose Island Beer Co.,Belgian Strong Dark Ale,Blue,1062110644.0,3.5,4.5,4.0,3.5,4.0,8.7,-1,Unfilled,False
712,Brouwerij Sterkens N.v.,Tripel,St. Sebastiaan Golden,1072748460.0,4.5,3.5,4.0,5.0,4.5,7.7,-1,Unfilled,False
713,"Kirin Brewery Company, Limited",Japanese Rice Lager,Kirin Lager,1052568298.0,3.0,1.5,2.0,2.0,2.0,4.9,-1,Unfilled,False
714,Bayerische Staatsbrauerei Weihenstephan,Dunkelweizen,Weihenstephaner Hefeweissbier Dunkel,1300593585.0,4.0,4.0,4.0,3.5,4.0,5.3,-1,Unfilled,False
715,Miller Brewing Co.,American Malt Liquor,Magnum,1183374069.0,2.0,2.5,2.0,2.5,2.5,6.0,-1,Unfilled,False
716,Miller Brewing Co.,American Malt Liquor,Mickey's,1076640703.0,2.5,2.5,2.5,3.0,2.5,5.6,-1,Unfilled,False
717,Bass Brewers Limited,English Pale Ale,Bass Pale Ale,1173036950.0,4.0,4.0,4.5,4.0,4.5,5.0,-1,Unfilled,False
718,Wychwood Brewery Company Ltd,English Pale Ale,Old Devil,1052414781.0,2.5,2.5,3.0,3.0,3.0,4.7,-1,Unfilled,False
719,Brouwerij De Dolle Brouwers,Belgian Strong Dark Ale,De Dolle Oerbier,1122235120.0,4.5,4.0,4.5,4.0,5.0,9.5,-1,Unfilled,False
720,Sapporo Breweries Ltd.,Japanese Rice Lager,Sapporo Draft Beer,1314584212.0,1.5,3.0,3.0,2.5,1.5,5.0,-1,Unfilled,False
721,Cropton Brewery,Extra Special / Strong Bitter (esb),Monkman's Slaughter Ale,1078793485.0,3.0,4.5,4.0,4.0,4.0,6.0,-1,Unfilled,False
722,Odell Brewing Company,American Pale Ale (apa),Odell Cutthroat Pale Ale,1066137812.0,4.0,3.5,4.0,4.0,4.0,-1.0,-1,Unfilled,False
723,Brouwerij De Dolle Brouwers,Belgian Strong Pale Ale,De Dolle Stille Nacht,1102557916.0,3.5,4.5,3.5,4.0,4.5,12.0,-1,Unfilled,False
724,St. Georgenbräu,Keller Bier / Zwickel Bier,St. Georgenbräu Keller Bier,1267461964.0,4.5,4.0,3.5,4.5,4.0,4.9,-1,Unfilled,False
725,Matt Brewing Company,Scotch Ale / Wee Heavy,Saranac Scotch Ale,1232041689.0,3.0,2.0,4.0,3.0,4.0,5.4,-1,Unfilled,False
726,St. Peter's Brewery Co Ltd,English Pale Ale,St. Peter's English Ale,1139109430.0,3.5,4.0,3.5,4.0,3.5,4.5,-1,Unfilled,False
727,Z Street Brewing Company,American Pale Ale (apa),Honey Almond Ale,1020593700.0,3.5,3.5,4.0,4.0,3.5,-1.0,-1,Unfilled,False
728,"Old Nutfield Brewing Company, Ltd.",English India Pale Ale (ipa),Frank Jones Ale,1033114280.0,3.5,3.5,3.5,3.5,3.5,4.9,-1,Unfilled,False
729,Mad River Brewing Company,American Pale Ale (apa),Steelhead Extra Pale Ale,1148695507.0,5.0,4.0,4.5,4.0,4.5,5.6,-1,Unfilled,False
730,Thomas Caffrey Brewing Co.,Irish Red Ale,Caffrey's Irish Ale,1037239530.0,3.5,3.5,3.5,3.5,3.5,3.8,-1,Unfilled,False
731,St. Pauli Brauerei C.l. Wilh. Brandt Gmbh & Co.,Low Alcohol Beer,St. Pauli N. A.,1283014881.0,1.0,2.5,3.0,1.5,1.0,0.5,-1,Unfilled,False
732,Sapporo Breweries Ltd.,Japanese Rice Lager,Sapporo Original Draft Beer,1036042084.0,3.0,3.0,2.5,2.5,2.5,5.0,-1,Unfilled,False
733,Coniston Brewing Co. Ltd,English Bitter,Bluebird Bitter,1235336179.0,3.0,3.5,4.0,4.0,3.5,4.2,-1,Unfilled,False
734,Mad River Brewing Company,American Ipa,Jamaica Sunset India Pale Ale,1182820546.0,3.5,2.5,4.0,3.5,4.0,7.0,-1,Unfilled,False
735,Shmaltz Brewing Company,American Stout,He'brew Messiah Stout,1039914700.0,4.5,3.5,4.0,4.0,4.5,-1.0,-1,Unfilled,False
736,Sociedade Central De Cervejas,American Adjunct Lager,Sagres Cerveja,1024815054.0,4.0,3.5,3.5,3.5,4.0,5.1,-1,Unfilled,False
737,Genesee Brewing Co. / Dundee Brewing Co.,American Amber / Red Lager,Dundee Original Honey Brown Lager,1192371130.0,2.5,3.0,3.0,3.0,3.0,4.5,-1,Unfilled,False
738,Boston Beer Company (samuel Adams),English Pale Ale,Samuel Adams Pale Ale,1022784758.0,3.0,3.0,4.0,3.0,3.0,5.25,-1,Unfilled,False
739,Bud&#283;jovický M&#283;&#357;anský Pivovar,Czech Pilsener,Crystal Lager Beer,1038150622.0,3.0,3.0,3.0,3.5,3.0,-1.0,-1,Unfilled,False
740,Brooklyn Brewery,English Pale Ale,Brooklyn Ale / Pennant Ale '55,1245121111.0,4.0,4.0,3.5,4.0,4.0,5.0,-1,Unfilled,False
741,Coors Brewing Company,Light Lager,Coors Light,1115844755.0,2.0,1.5,2.0,2.0,2.0,4.2,-1,Unfilled,False
742,St. Peter's Brewery Co Ltd,English Porter,St. Peter's Old-style Porter,1206828686.0,4.5,3.5,3.5,4.5,4.5,5.1,-1,Unfilled,False
743,"Kinsale Brewing Company,",Euro Pale Lager,Kinsale Irish Lager,1104504866.0,3.5,2.0,2.5,3.0,3.5,4.3,-1,Unfilled,False
744,Boston Beer Company (samuel Adams),English India Pale Ale (ipa),Samuel Adams I.p.a.,1045144917.0,2.5,3.0,3.0,3.0,3.0,5.93,-1,Unfilled,False
745,St. Peter's Brewery Co Ltd,American Pale Wheat Ale,St. Peter's Wheat Beer,1043287403.0,4.0,3.5,3.0,4.0,4.0,4.7,-1,Unfilled,False
746,Binding-brauerei Ag,Low Alcohol Beer,Clausthaler Golden Amber,1201370388.0,4.5,3.0,4.5,3.5,4.0,0.3,-1,Unfilled,False
747,Mcneill's Brewery,Altbier,Mcneill's Alle Tage Altbier,1149793814.0,3.5,3.5,3.5,3.5,4.0,-1.0,-1,Unfilled,False
748,Genesee Brewing Co. / Dundee Brewing Co.,American Blonde Ale,12 Horse Ale,1067387067.0,2.5,2.5,2.5,2.0,2.0,5.1,-1,Unfilled,False
749,Boston Beer Company (samuel Adams),Scotch Ale / Wee Heavy,Samuel Adams Scotch Ale,1271962278.0,3.5,3.5,4.0,3.5,3.5,5.4,-1,Unfilled,False
750,"Cervecería Cuauhtémoc Moctezuma, S.a. De C.v.",American Adjunct Lager,Tecate,1022015879.0,2.5,2.5,3.5,2.5,2.5,4.5,-1,Unfilled,False
751,Anheuser-busch,American Amber / Red Lager,Killarney's Red Lager,1021092583.0,4.0,3.0,3.5,3.5,3.5,5.0,-1,Unfilled,False
752,Genesee Brewing Co. / Dundee Brewing Co.,Euro Dark Lager,Michael Shea's Irish Amber,1111896203.0,1.5,3.0,3.0,2.0,1.5,4.62,-1,Unfilled,False
753,Genesee Brewing Co. / Dundee Brewing Co.,Light Lager,Genny Light,1264974697.0,3.5,2.0,2.0,2.5,3.0,3.6,-1,Unfilled,False
754,Freeminer Brewery Ltd.,Herbed / Spiced Beer,Shakemantle Ginger Ale,1177392286.0,3.5,3.5,3.0,3.0,3.5,5.0,-1,Unfilled,False
755,Brouwerij Westvleteren (sint-sixtusabdij Van Westvleteren),Dubbel,Trappist Westvleteren 8,1279156173.0,4.0,4.5,4.0,4.5,4.5,8.0,-1,Unfilled,False
756,"Tremont Brewery / Atlantic Coast Brewing, Ltd.",English Bitter,Tremont Bitter,991267201.0,4.0,4.5,3.5,4.0,4.0,-1.0,-1,Unfilled,False
757,"Yuksom Breweries, Ltd.",American Adjunct Lager,Himalayan Blue,1041683973.0,3.0,3.0,3.0,2.5,3.0,4.5,-1,Unfilled,False
758,Guinness Ltd.,Euro Pale Lager,Harp Lager,1142792030.0,3.5,3.0,3.0,3.5,3.0,5.0,-1,Unfilled,False
759,Genesee Brewing Co. / Dundee Brewing Co.,American Adjunct Lager,Genesee Beer,1271806780.0,4.5,3.0,3.0,3.0,3.5,4.5,-1,Unfilled,False
760,Birra Moretti (heineken),Euro Pale Lager,Birra Moretti,1024377457.0,2.5,2.0,3.5,3.0,3.0,4.6,-1,Unfilled,False
761,Brau Union Österreich Ag,Euro Pale Lager,Gösser,1135753304.0,4.5,3.5,4.0,3.5,4.0,5.2,-1,Unfilled,False
762,Hacker-pschorr Bräu Gmbh,Munich Helles Lager,Hacker-pschorr Münchner Hell,1306948531.0,4.0,4.0,4.0,4.0,3.5,4.9,-1,Unfilled,False
763,Hamm's Brewing Co.,American Adjunct Lager,Hamm's,1313691421.0,3.5,2.5,3.5,2.5,3.0,4.7,-1,Unfilled,False
764,Birra Moretti (heineken),Doppelbock,Moretti La Rossa Birra Doppio Malto,1068167103.0,4.0,3.5,4.0,3.5,4.0,7.2,-1,Unfilled,False
765,Brasserie D'achouffe,Belgian Dark Ale,Chouffe-bok,1155945828.0,4.0,3.5,4.0,4.0,4.0,6.5,-1,Unfilled,False
766,Hacker-pschorr Bräu Gmbh,Kristalweizen,Hacker-pschorr Kristall Weisse,1041840393.0,3.0,3.5,4.0,3.0,3.0,5.5,-1,Unfilled,False
767,Brouwerij Smisje,Witbier,Vuuve,1247690030.0,4.0,3.5,3.0,3.5,4.0,5.0,-1,Unfilled,False
768,Harviestoun Brewery Ltd.,English Porter,Old Engine Oil,1102841695.0,3.0,3.5,3.0,3.5,3.5,6.0,-1,Unfilled,False
769,Pabst Brewing Company,American Pale Ale (apa),Ballantine Xxx Ale,1133739845.0,4.0,3.0,3.0,3.5,3.5,4.85,-1,Unfilled,False
770,Greene King / Morland Brewery,English Pale Ale,Hen's Tooth,1070584211.0,3.0,2.5,3.0,3.0,2.5,6.5,-1,Unfilled,False
771,Long Trail Brewing Co.,American Pale Ale (apa),Pollenator,1065455521.0,3.0,3.0,3.0,3.0,3.0,4.6,-1,Unfilled,False
772,Cisco Brewers Inc.,American Porter,Moor Porter,1146879982.0,3.5,3.5,3.5,3.0,4.0,7.0,-1,Unfilled,False
773,Matt Brewing Company,American Porter,Saranac Caramel Porter,1290877401.0,3.5,3.5,3.0,3.0,3.5,5.4,-1,Unfilled,False
774,Matt Brewing Company,German Pilsener,Saranac Adirondack Lager,1249770381.0,4.0,4.0,4.0,4.0,4.0,5.5,-1,Unfilled,False
775,Spaten-franziskaner-bräu,Kristalweizen,Franziskaner Club-weisse Kristalklar,1047751759.0,3.0,3.5,4.0,3.5,3.0,5.0,-1,Unfilled,False
776,Matt Brewing Company,Black & Tan,Saranac Black & Tan,1169352938.0,4.5,4.0,3.0,2.0,4.0,5.4,-1,Unfilled,False
777,Casco Bay Brewing Co.,Winter Warmer,Casco Bay Winter Ale (old Port Ale),1138328693.0,3.5,3.5,4.0,3.0,3.5,7.2,-1,Unfilled,False
778,Columbus Brewing Company,English Brown Ale,Columbus Nut Brown Ale,1097629909.0,3.0,3.5,4.0,3.0,3.5,-1.0,-1,Unfilled,False
779,Coors Brewing Company,American Amber / Red Lager,Killian's Irish Red,1199598917.0,3.5,3.5,3.0,3.0,3.0,4.9,-1,Unfilled,False
780,Greene King / Morland Brewery,English Pale Ale,Abbot Ale,1232801336.0,3.5,3.0,3.5,4.0,3.5,5.0,-1,Unfilled,False
781,The Caledonian Brewery Company Limited,English India Pale Ale (ipa),Mcewan's India Pale Ale,1197381252.0,4.0,3.5,3.5,3.5,3.0,4.7,-1,Unfilled,False
782,Berkshire Brewing Company Inc.,American Pale Ale (apa),Berkshire Ale Traditional Pale Ale,1294363951.0,3.5,3.0,4.0,3.5,3.5,6.3,-1,Unfilled,False
783,Murphy Brewery Ireland Limited,Irish Red Ale,Murphy's Irish Red Beer,1136861836.0,3.5,3.0,4.0,3.0,3.5,5.0,-1,Unfilled,False
784,Matt Brewing Company,English Pale Ale,Saranac Pale Ale,1154640301.0,4.0,4.0,4.0,4.0,4.0,5.5,-1,Unfilled,False
785,Coeur D'alene Brewing Co.,American Pale Ale (apa),Centennial Pale Ale,1210135167.0,3.0,3.0,3.0,3.0,2.5,4.5,-1,Unfilled,False
786,Lagunitas Brewing Company,American Ipa,Lagunitas Ipa,1245968003.0,4.0,3.5,4.0,4.0,4.0,6.2,-1,Unfilled,False
787,Foster's Group Limited,English Bitter,Foster's Special Bitter,1234572816.0,2.0,1.5,4.0,3.0,2.0,5.0,-1,Unfilled,False
788,Foster's Group Limited,American Adjunct Lager,Foster's Lager,1193857611.0,4.0,2.0,3.0,3.5,3.0,5.0,-1,Unfilled,False
789,Carolina Beer Company,American Blonde Ale,Carolina Blonde,1174095345.0,2.0,2.5,3.0,2.0,2.0,5.0,-1,Unfilled,False
790,Yuengling Brewery,American Porter,Yuengling Porter (dark Brewed),1317512769.0,3.5,3.5,4.0,3.5,3.0,4.7,-1,Unfilled,False
791,San Miguel Corporation,American Adjunct Lager,San Miguel Premium Lager,1141769289.0,3.0,3.0,3.0,2.5,2.5,5.0,-1,Unfilled,False
792,Berkshire Brewing Company Inc.,Maibock / Helles Bock,Berkshire Maibock Lager,1125029340.0,4.5,3.5,4.0,4.0,4.5,6.5,-1,Unfilled,False
793,Spaten-franziskaner-bräu,Dunkelweizen,Franziskaner Hefe-weisse Dunkel,1044972451.0,2.0,3.0,2.5,3.0,2.0,5.0,-1,Unfilled,False
794,Cisco Brewers Inc.,Munich Helles Lager,Summer Of Lager,1138503425.0,4.0,3.0,4.5,4.0,4.0,6.25,-1,Unfilled,False
795,T & R Theakston Ltd.,Old Ale,Theakston Old Peculier,1147218365.0,4.5,5.0,4.0,4.0,4.0,5.7,-1,Unfilled,False
796,Beamish & Crawford Plc.,Irish Dry Stout,Beamish Irish Stout,1194662075.0,3.5,3.5,3.5,3.5,4.0,4.1,-1,Unfilled,False
797,Ipswich Ale Brewery,American Porter,Ipswich 1722 Commemorative Porter,1022418197.0,4.0,4.5,4.5,4.5,4.0,5.9,-1,Unfilled,False
798,"Old Nutfield Brewing Company, Ltd.",American Pale Ale (apa),Hopfest,994982401.0,4.0,4.0,3.5,4.0,4.0,-1.0,-1,Unfilled,False
799,Brauerei Tucher Brau,Doppelbock,Tucher Bajuvator Doppelbock,1158121499.0,3.5,4.0,5.0,3.5,4.0,7.2,-1,Unfilled,False
800,New Belgium Brewing,German Pilsener,Blue Paddle Pilsner,1304040380.0,3.5,3.5,5.0,4.0,3.0,4.8,-1,Unfilled,False
801,New England Brewing Co.,American Strong Ale,Gold Stock Ale,1267977775.0,4.0,4.5,3.5,3.5,4.0,6.5,-1,Unfilled,False
802,Warsteiner Brauerei,German Pilsener,Warsteiner Premium Verum,1063460665.0,4.0,3.0,3.5,3.5,3.5,4.8,-1,Unfilled,False
803,Bend Brewing Company,Hefeweizen,High Desert Hefeweizen,1318212336.0,2.0,2.0,3.0,3.5,2.0,-1.0,-1,Unfilled,False
804,Bend Brewing Company,American Blonde Ale,Metolius Golden Ale,1278013526.0,4.5,3.5,3.5,4.0,3.5,-1.0,-1,Unfilled,False
805,Bend Brewing Company,Old Ale,Outback Old Ale,1101787884.0,3.0,3.5,3.5,3.5,3.0,-1.0,-1,Unfilled,False
806,Bend Brewing Company,American Porter,Pinnacle Porter,1205884427.0,3.5,4.0,4.0,3.0,4.0,5.4,-1,Unfilled,False
807,Full Sail Brewery & Tasting Room & Pub,American Ipa,Full Sail Ipa,1209022445.0,3.5,3.5,3.0,3.5,3.0,6.0,-1,Unfilled,False
808,Full Sail Brewery & Tasting Room & Pub,Märzen / Oktoberfest,Oktoberfest,1060908718.0,4.0,4.0,3.0,4.0,3.5,-1.0,-1,Unfilled,False
809,Hair Of The Dog Brewing Company / Brewery And Tasting Room,American Pale Ale (apa),Ruth,1294366608.0,3.5,3.0,4.0,4.0,3.5,5.6,-1,Unfilled,False
810,Hair Of The Dog Brewing Company / Brewery And Tasting Room,Old Ale,Adam,1266397318.0,3.5,3.5,5.0,4.5,4.0,10.0,-1,Unfilled,False
811,Big Time Brewery & Alehouse,American Pale Ale (apa),Prime Time Pale Ale,1184027375.0,3.0,4.0,3.0,3.0,3.5,-1.0,-1,Unfilled,False
812,Big Time Brewery & Alehouse,American Amber / Red Ale,Atlas Amber Ale,1203909442.0,3.5,3.0,4.0,4.0,3.5,-1.0,-1,Unfilled,False
813,Big Time Brewery & Alehouse,American Porter,Coal Creek Porter,1309141162.0,3.5,3.0,3.5,3.0,3.5,4.5,-1,Unfilled,False
814,Big Time Brewery & Alehouse,American Ipa,Bhagwan's Best Ipa,1280716809.0,4.0,4.0,3.0,3.5,3.5,5.0,-1,Unfilled,False
815,Maritime Pacific Brewing Company,Altbier,Flagship Red Alt Ale,1204512132.0,4.0,3.5,4.0,4.0,4.0,5.2,-1,Unfilled,False
816,Maritime Pacific Brewing Company,Hefeweizen,Clipper Gold Hefeweizen,1191172387.0,4.0,3.0,3.0,3.5,3.0,5.2,-1,Unfilled,False
817,Maritime Pacific Brewing Company,English Bitter,Salmon Bay Esb (jane's Bitter),1275880041.0,4.0,4.0,3.5,3.5,3.0,5.5,-1,Unfilled,False
818,Maritime Pacific Brewing Company,American Pale Ale (apa),Islander Pale Ale,1188495737.0,4.0,4.0,4.0,4.0,4.0,5.0,-1,Unfilled,False
819,Maritime Pacific Brewing Company,American Pale Ale (apa),Islander Pale Ale Dry-hopped,1290393319.0,5.0,5.0,5.0,4.5,5.0,-1.0,-1,Unfilled,False
820,Maritime Pacific Brewing Company,American Amber / Red Ale,Nightwatch Dark Amber Ale,1111885220.0,3.0,3.5,3.0,3.0,3.5,5.5,-1,Unfilled,False
821,Maritime Pacific Brewing Company,American Porter,Bosun's Black Porter,1205460716.0,4.0,4.5,4.0,4.5,4.0,5.2,-1,Unfilled,False
822,Maritime Pacific Brewing Company,American Double / Imperial Ipa,Imperial Pale Ale,1213655001.0,4.0,3.5,4.0,4.0,4.0,7.5,-1,Unfilled,False
823,Maritime Pacific Brewing Company,German Pilsener,Portage Bay Pilsener,1126595350.0,3.5,3.0,3.5,3.5,3.5,-1.0,-1,Unfilled,False
824,Pike Pub & Brewery,American Pale Ale (apa),Pike Pale Ale,1056805057.0,4.0,3.5,4.0,3.5,4.0,5.3,-1,Unfilled,False
825,Pike Pub & Brewery,American Ipa,Pike India Pale Ale,1205105295.0,4.0,4.0,4.0,3.5,4.0,6.5,-1,Unfilled,False
826,Pike Pub & Brewery,American Pale Ale (apa),Naughty Nellie's Ale,1239115275.0,4.0,3.5,3.5,4.0,4.0,4.7,-1,Unfilled,False
827,Pike Pub & Brewery,Scotch Ale / Wee Heavy,Pike Kilt Lifter Scotch Style Ale,1284436615.0,4.0,3.5,3.5,3.0,3.5,6.5,-1,Unfilled,False
828,Pike Pub & Brewery,American Barleywine,Pike Old Bawdy Barley Wine,1319669386.0,4.0,3.5,4.0,4.0,4.0,10.0,-1,Unfilled,False
829,Pike Pub & Brewery,American Porter,Pike Old 89 Nitro Porter,1085688230.0,4.0,4.0,3.5,3.5,3.5,-1.0,-1,Unfilled,False
830,Pike Pub & Brewery,Hefeweizen,Pike Weisse,1232417554.0,3.0,3.0,3.0,3.0,3.5,3.8,-1,Unfilled,False
831,Pike Pub & Brewery,American Stout,Pike Street Xxxxx Stout,1280619449.0,4.0,4.0,3.5,4.0,4.0,7.0,-1,Unfilled,False
832,Pike Pub & Brewery,English Brown Ale,Pike Bootleg Brown,1085687996.0,3.5,4.0,4.0,3.0,3.5,4.9,-1,Unfilled,False
833,Thomas Kemper Brewing Co.,Hefeweizen,Half Ton Hefeweizen,1064780509.0,3.0,2.5,4.0,4.0,3.5,-1.0,-1,Unfilled,False
834,Thomas Kemper Brewing Co.,Fruit / Vegetable Beer,Weizen Berry,1113346472.0,3.5,3.5,3.5,2.5,3.0,5.2,-1,Unfilled,False
835,Thomas Kemper Brewing Co.,Winter Warmer,Happy Cow Winterbräu,1064780698.0,3.0,3.0,3.0,3.0,3.0,6.1,-1,Unfilled,False
836,Thomas Kemper Brewing Co.,Bock,Bad Goat Bock,1040279834.0,3.0,2.5,3.0,2.5,3.0,-1.0,-1,Unfilled,False
837,Thomas Kemper Brewing Co.,Märzen / Oktoberfest,Big Fat Tuba Oktoberfest,1128957247.0,4.0,4.5,4.0,2.5,4.0,-1.0,-1,Unfilled,False
838,Thomas Kemper Brewing Co.,American Pale Wheat Ale,Viking Fest Summer Ale,1022826826.0,3.5,3.0,4.0,3.5,3.5,-1.0,-1,Unfilled,False
839,Thomas Kemper Brewing Co.,Märzen / Oktoberfest,Mason Jar Märzen,1068582679.0,3.5,3.5,3.5,3.0,3.0,-1.0,-1,Unfilled,False
840,"Boon Rawd Brewery Co., Ltd",Euro Pale Lager,Singha,1292333524.0,2.5,2.5,3.0,3.0,3.0,5.0,-1,Unfilled,False
841,Capital Brewery,American Amber / Red Lager,Wisconsin Amber,1248133029.0,3.5,3.5,3.0,3.0,3.5,5.2,-1,Unfilled,False
842,Capital Brewery,English Brown Ale,Brown Ale,1070459818.0,3.5,3.5,4.0,3.0,3.5,-1.0,-1,Unfilled,False
843,Capital Brewery,American Pale Lager,Capitol 1900,1124070293.0,4.0,4.0,4.0,4.0,4.0,-1.0,-1,Unfilled,False
844,Capital Brewery,Munich Helles Lager,Bavarian Lager,1193280421.0,4.5,3.5,3.5,3.0,3.5,-1.0,-1,Unfilled,False
845,Capital Brewery,German Pilsener,Capital Pilsner,1085101406.0,3.5,3.5,4.0,4.0,3.0,4.7,-1,Unfilled,False
846,Capital Brewery,Hefeweizen,Kloster Weizen,1096579020.0,4.5,4.0,4.0,4.0,4.0,-1.0,-1,Unfilled,False
847,Capital Brewery,Maibock / Helles Bock,Maibock,1143064698.0,4.0,3.5,4.0,4.0,3.5,6.2,-1,Unfilled,False
848,Capital Brewery,Märzen / Oktoberfest,Fest (summer Fest),1104845491.0,3.5,4.0,4.0,3.5,3.5,5.6,-1,Unfilled,False
849,Capital Brewery,Märzen / Oktoberfest,Oktoberfest,1285471033.0,5.0,4.0,4.0,4.5,4.0,5.5,-1,Unfilled,False
850,Capital Brewery,American Amber / Red Lager,Winter Skål,1264200060.0,4.5,3.0,4.0,4.0,4.0,5.4,-1,Unfilled,False
851,Capital Brewery,Doppelbock,Dark Doppelbock,1102560675.0,4.5,4.0,4.5,4.5,4.0,-1.0,-1,Unfilled,False
852,Capital Brewery,Weizenbock,Weizen Doppelbock,1286755677.0,4.0,4.0,4.0,4.0,4.0,8.0,-1,Unfilled,False
853,Capital Brewery,Doppelbock,Autumnal Fire,1203132801.0,4.5,4.0,4.0,4.0,4.0,7.8,-1,Unfilled,False
854,Capital Brewery,Herbed / Spiced Beer,Wild Rice,1122428385.0,4.0,4.0,4.0,4.5,4.0,5.4,-1,Unfilled,False
855,Sprecher Brewing Company,English Brown Ale,Pub Brown Ale,1196549401.0,2.0,3.5,3.5,2.0,2.5,4.8,-1,Unfilled,False
856,Sprecher Brewing Company,American Pale Lager,Pale Lager,1080159049.0,4.0,3.0,3.5,4.0,4.0,-1.0,-1,Unfilled,False
857,Sprecher Brewing Company,Maibock / Helles Bock,Mai Bock,1151427461.0,5.0,4.0,3.5,4.5,4.0,6.0,-1,Unfilled,False
858,Sprecher Brewing Company,American Ipa,India Pale Ale,1142989332.0,4.0,4.0,4.0,4.0,4.0,7.5,-1,Unfilled,False
859,Sprecher Brewing Company,Märzen / Oktoberfest,Oktoberfest,1190243046.0,4.5,3.5,3.0,4.0,4.0,6.0,-1,Unfilled,False
860,Sprecher Brewing Company,Doppelbock,Dopple Bock,1223758757.0,4.0,3.5,3.5,4.0,3.5,7.85,-1,Unfilled,False
861,Sprecher Brewing Company,Russian Imperial Stout,Brewmaster's Premium Reserve Russian Imperial Stout,1219537729.0,4.0,4.0,4.0,4.0,4.5,7.9,-1,Unfilled,False
862,Sprecher Brewing Company,Bock,Winter Brew,1292546939.0,3.5,3.5,4.0,3.5,4.0,5.75,-1,Unfilled,False
863,Casco Bay Brewing Co.,American Pale Ale (apa),Carrabassett Pale Ale,995673601.0,4.0,3.5,4.0,3.5,3.5,-1.0,-1,Unfilled,False
864,Victory Brewing Company,Munich Helles Lager,Victory Lager,1248123398.0,2.5,3.0,3.5,3.0,3.0,4.8,-1,Unfilled,False
865,Victory Brewing Company,Tripel,Golden Monkey,1158133896.0,4.0,4.0,4.0,4.0,3.5,9.5,-1,Unfilled,False
866,Victory Brewing Company,German Pilsener,Hallertauer Pils,1246833925.0,4.0,4.0,4.0,3.5,4.5,-1.0,-1,Unfilled,False
867,Victory Brewing Company,American Ipa,Hopdevil Ale,1212348177.0,4.0,3.5,4.5,3.5,4.0,6.7,-1,Unfilled,False
868,Victory Brewing Company,Hefeweizen,Mad King's Weiss,1121947205.0,4.5,4.0,4.0,4.0,4.0,6.2,-1,Unfilled,False
869,Victory Brewing Company,Weizenbock,Moonglow Weizenbock,1263785464.0,3.5,4.0,4.0,4.0,4.0,8.7,-1,Unfilled,False
870,Victory Brewing Company,American Barleywine,Old Horizontal,1205982654.0,4.5,4.0,3.0,4.0,4.0,11.0,-1,Unfilled,False
871,Victory Brewing Company,German Pilsener,Prima Pils,1239936146.0,4.0,3.5,4.0,4.0,4.0,5.3,-1,Unfilled,False
872,Victory Brewing Company,Maibock / Helles Bock,St. Boisterous,1151192857.0,4.5,3.5,3.5,4.5,4.5,7.4,-1,Unfilled,False
873,Victory Brewing Company,Doppelbock,St. Victorious,1170571908.0,3.0,3.0,4.0,3.0,3.5,7.6,-1,Unfilled,False
874,Victory Brewing Company,Russian Imperial Stout,Storm King Stout,1236307712.0,3.5,4.0,4.5,3.5,3.5,9.1,-1,Unfilled,False
875,Victory Brewing Company,Hefeweizen,Sunrise Weiss,1124039993.0,4.5,4.5,4.0,4.0,4.0,5.7,-1,Unfilled,False
