,Brewery,Style,Name,ReviewsNumber,OverallReview,Aroma,Appearance,Palate,Taste,BeerABV
2443,,,Wasatch Special Reserve Pale Ale,1170944414.0,,,,,,
2444,,,Old Blarney Barleywine,1084259213.0,,,,,,
2445,,,Regia,1045923933.0,,,,,,
2446,Gettysbrew Restaurant & Brewery,,Pa Blonde,1014831241.0,,,,,,
2447,,,Dark Horse,1049455757.0,,,,,,
2448,Estes Park Brewery,,Estes Park Renegade,1124014534.0,,,,,,
2449,,,Samson Stout,1237996332.0,,,,,,
2450,,,Our Special Ale 1997 (anchor Christmas Ale),1048006222.0,,,,,,
2451,Flying Monkey Brewing Company,,Pony Express Tornado Red Ale,1130121656.0,,,,,,
2452,Hubcap Brewery & Steakhouse,,Vail Pale Ale,1014845683.0,,,,,,
2453,Bristol Brewing Company,,Winter Warlock Oatmeal Stout,1225495704.0,,,,,,
2454,,,Schlafly Centennial Esb,1064375161.0,,,,,,
2455,,,Schlafly Altbier,1300460385.0,,,,,,
2456,,,Northwind Imperial Stout,1144893255.0,,,,,,
2457,,,Schlafly Wit,1124317518.0,,,,,,
2458,,,Spanish Peaks Black Dog Ale,1244475792.0,,,,,,
2459,Macedonian Thrace Brewery,,Vergina,1277152147.0,,,,,,
2460,Wagner Valley Brewery,,Sled Dog Dopplebock,1041834259.0,,,,,,
2461,,,Tucher Lorenzi Mai Bock Hell,1034587715.0,,,,,,
2462,,,Full Sail Rip Curl,1075699787.0,,,,,,
2463,,,Ellie's Brown Ale,1191022827.0,,,,,,
2464,,,Aruba Red,1070903524.0,,,,,,
2465,Dillon Dam Brewery,,,1034707546.0,,,,,,
2466,Ice Harbor Brewing Company,,Ice Harbor Barley Wine Style Ale,1025471619.0,,,,,,9.3
2467,,,Tuppers' Hop Pocket Ale,1065060336.0,,,,,,
2468,Klosterbrauerei Andechs,,Andechser Doppelbock Dunkel,1222034560.0,,,,,,
2469,Thirsty Bear Brewing Company,,Howard Street Ipa,1064642427.0,,,,,,
2470,,,Abigail Adams Amber,1016371802.0,,,,,,4.25
2471,,,Copper Kettle Weiss,1186806562.0,,,,,,
2472,,,New Holland Mad Hatter India Pale Ale,1237250329.0,,,,,,
2473,,,Northside Pale,1015079665.0,,,,,,
2474,,,Butte Creek Organic India Pale Ale,1036355468.0,,,,,,
2475,,,Miller Lite Ice,1228937831.0,,,,,,
2476,Cerveceria Nacional Dominicana,,Presidente,1159847075.0,,,,,,
2477,,,Procreator Doppelbock,1015169354.0,,,,,,
2478,,,Old Dipsea Barleywine Style Ale,1219293732.0,,,,,,
2479,,,Mt. Tam Pale Ale,1272314791.0,,,,,,
2480,Lewis & Clark Brewing Company,,Prickly Pear Pale Ale,1029658611.0,,,,,,
2481,The Olde Burnside Brewing Company,,Ten Penny Ale,1074704526.0,,,,,,
2482,,,Slavutych Pivo (slavutich Premium),1320775694.0,,,,,,
2483,,,Lunacy,1065406459.0,,,,,,
2484,,,City Steam Luscious Wheat,1308679790.0,,,,,,
2485,Hops Grillhouse & Brewery,,Hops Big 'skeeter Pale Ale,1082561796.0,,,,,,
2486,,,Hops Alligator Ale,1015683383.0,,,,,,
2487,,,Hops Hoptoberfest,1225918732.0,,,,,,
2488,La Zaragozana S.a.,,Ambar Pale Ale 1900,1280960108.0,,,,,,
2489,,,Rocky's Revenge Schwarzbier,1015274955.0,,,,,,
2490,,,Mass Transit Ale,1170306970.0,,,,,,
2491,,,,1081384123.0,,,,,,
2492,,,Laughing Lab Scottish-style Ale,1015284517.0,,,,,,
2493,Browar Krotoszyn,,Kozlak Porter,1042135245.0,,,,,,
2494,,,Two Druids Gruit Ale,1069514484.0,,,,,,
2495,Mahou S.a.,,Negra,1321488856.0,,,,,,
2496,Castle Eden & Camerons Brewing Company Ltd,,Camerons Strongarm,1249252416.0,,,,,,
2497,Cold Spring Brewing Co.,,Doppelbock,1015329958.0,,,,,,
2498,,,Stite Golden Pilsner,1181105831.0,,,,,,
2499,Privatbrauerei Bischoff,,Bischoff Premium Pilsener,1116043173.0,,,,,,
2500,,,Kayak Kölsch,1214774327.0,,,,,,
2501,,,Vervifontaine Bière Brune De Noël,1105056582.0,,,,,,
2502,,,Leinenkugel's Creamy Dark,1055964439.0,,,,,,
2503,,,Sir Duluth Oatmeal Stout,1129317195.0,,,,,,
2504,Ska Brewing Co.,,Ten Pin Porter!,1285032248.0,,,,,,
2505,,,Ground Hog Brew,1015438543.0,,,,,,
2506,New Zealand Breweries Limited,,Steinlager,1154738266.0,,,,,,
2507,,,Keystone Ice,1275604312.0,,,,,,
2508,Brouwerij Der St. Benedictusabdij De Achelse,,Trappist Achel 8° Blond,1019343687.0,,,,,,
2509,,,Groovy Brew,1018039897.0,,,,,,
2510,,,Goliath Golden Ale,1018073179.0,,,,,,
2511,,,Granite Rail Pale Ale,1018073007.0,,,,,,
2512,,,Furnace Brook Porter,1022099191.0,,,,,,
2513,,,Wollynut Nut Brown Ale,1018072070.0,,,,,,
2514,,,Phat Bastard Lager,1018072699.0,,,,,,
2515,,,Hough's Neck Hefeweizen,1023111253.0,,,,,,
2516,,,Leinenkugel's Honey Weiss,1201573643.0,,,,,,
2517,,,Grain Belt Premium (old),1047897041.0,,,,,,
2518,Brauerei Spezial,,Spezial Rauchbier Lager,1214530646.0,,,,,,
2519,,,Domaine Dupage French Style Country Ale,1242268399.0,,,,,,
2520,,,Blonde Doppelbock,1183925868.0,,,,,,
2521,,,Xs Old Crustacean,1081376234.0,,,,,,
2522,,,Belco Beer,1025293234.0,,,,,,
2523,,,Leinenkugel's Berry Weiss,1311795083.0,,,,,,
2524,Landwehr-bräu - Privatbrauerei Wörner,,Landwehr Dunkles Landbier,1185568966.0,,,,,,
2525,Brauerei-gaststätte Klosterbräu,,Klosterbräu Maibock,1144452219.0,,,,,,
2526,,,Taj Mahal Premium Lager,1171163036.0,,,,,,
2527,,,Uncle Otto's Weiss Beer,1090620688.0,,,,,,
2528,,,Scape Goat Pale Ale,1190602143.0,,,,,,
2529,Pacific Rim Brewing Co.,,Alki Ale,1089785923.0,,,,,,
2530,,,Admiral E.s.b.,1122684653.0,,,,,,
2531,,,Vashon Old Stock Ale,1088276489.0,,,,,,
2532,,,Fauntleroy Stout,1200616285.0,,,,,,
2533,,,Pumpkin Ale,1129364605.0,,,,,,
2534,,,Ring Of Fire Pepper Ale,1089786336.0,,,,,,
2535,Hale's Ales Brewery & Pub,,Hale's Drawbridge Blonde,1055646606.0,,,,,,
2536,,,Hale's Pale Ale,1020177777.0,,,,,,
2537,,,Hale's Wee Heavy Winter Ale,1161409808.0,,,,,,
2538,,,Hale's Irish Style Nut Brown Ale,1085815140.0,,,,,,
2539,,,Hale's O'brien's Harvest Ale,1288345432.0,,,,,,
2540,,,Hale's Cream Ale,1244228693.0,,,,,,
2541,,,Hale's Special Bitter,1081742804.0,,,,,,
2542,,,Hale's Mongoose Ipa,1316387658.0,,,,,,
2543,,,Hale's Amber Ale,1071890346.0,,,,,,
2544,,,Hale's Moss Bay Extra,1204525856.0,,,,,,
2545,,,Hale's Dublin Style Stout,1027761051.0,,,,,,
2546,,,South Park Blonde,1100657202.0,,,,,,
2547,,,U.s.  I.p.a.,1050852030.0,,,,,,
2548,,,O'sullivan's Irish Ale,1144190065.0,,,,,,
2549,,,Pippo's Porter,1122194599.0,,,,,,
2550,,,Red Ale,1088796451.0,,,,,,
2551,,,Fall Fest,1286247353.0,,,,,,
2552,,,Mardi Gras Bock,1173845603.0,,,,,,
2553,,,Belgium Triple,1015703683.0,,,,,,
2554,,,Bearded Pat's Barleywine,1193934857.0,,,,,,
2555,,,Crimson Clover Irish Red,1047195568.0,,,,,,
2556,,,Wild Warthog Hefeweizen,1018517557.0,,,,,,
2557,Stingray Brewery,,Stingray Premium Beer,1015803104.0,,,,,,
2558,,,Beck's Light,1041678585.0,,,,,,
2559,,,Blatz Beer,1068134671.0,,,,,,
2560,,,Goose Pils,1200708826.0,,,,,,
2561,Nicolet Brewing Company,,Classic Pilsener,1039991133.0,,,,,,
2562,,,Stone Old Guardian Barley Wine Style Ale 2001,1016047575.0,,,,,,9.4
2563,Cross Plains Beer Company,,Esser's Best Original,1173138411.0,,,,,,
2564,,,Mactarnahan's Highlander Pale Ale,1127867892.0,,,,,,
2565,The Nils Oscar Company,,Nils Oscar Imperial Stout,1240554163.0,,,,,,
2566,,,Shillelagh Irish Red Ale,1115492311.0,,,,,,
2567,,,Rock Creek Nuttrageous Brown Ale,1056036772.0,,,,,,
2568,,,Pater Lieven Bruin,1264604402.0,,,,,,
2569,,,Colossus Big Brown,1041706471.0,,,,,,
2570,,,Rock Creek Devil's Elbow I.p.a.,1024726012.0,,,,,,
2571,Smoky Mountain Brewery & Restaurant,,Cherokee Red Ale,1097515336.0,,,,,,
2572,,,Black Bear Ale,1228066907.0,,,,,,
2573,,,Mountain Light,1072998122.0,,,,,,
2574,,,Thunder Road,1207953992.0,,,,,,
2575,,,Winter Warmer,1044272755.0,,,,,,
2576,,,Capricator Bock,1159123961.0,,,,,,
2577,,,Whitewater Wheat,1219342770.0,,,,,,
2578,,,Red Fox Fest,1159876337.0,,,,,,
2579,,,Appalachian Pale Ale,1325456862.0,,,,,,
2580,,,Tuckaleechee Porter,1152678847.0,,,,,,
2581,,,Brown Trout Stout,1159123350.0,,,,,,
2582,,,Velas Helles,1265727823.0,,,,,,
2583,Zagorka Brewery / Pivovaren Zavod Zagorka,,Zagorka Special,1133498713.0,,,,,,
2584,,,Tröegs Esb Ale,1024817487.0,,,,,,
2585,,,True Blonde Ale,1301361998.0,,,,,,
2586,,,Wrasslers Xxxx Stout,1288635538.0,,,,,,
2587,,,Alexander Keith's Light Ale,1325026304.0,,,,,,
2588,,,,1052763265.0,,,,,,
2589,,,Honey Moon,1266204156.0,,,,,,
2590,,,J.s. Helles Bock,1164588888.0,,,,,,
2591,,,Invador Dopplebock,1112236491.0,,,,,,
2592,,,Beer Line,1107217091.0,,,,,,
2593,Commonwealth Brewery Ltd.,,Kalik,1136829512.0,,,,,,
2594,,,Irish Style Stout,1204077263.0,,,,,,5.73
2595,,,Dark Pilsener,1018046934.0,,,,,,
2596,Windward & Leeward Brewery Ltd.,,Piton Lager Beer,1136430741.0,,,,,,
2597,,,Sierra Nevada Brown Ale,1062216690.0,,,,,,
2598,,,Hofbräu Original,1169610149.0,,,,,,
2599,,,,1147822524.0,,,,,,
2600,,,,1025848385.0,,,,,,
2601,,,Cream Ale,1067993039.0,,,,,,
2602,Tui Brewery,,Tui East India Pale Ale,1028853011.0,,,,,,
2603,,,Bell's Beer,1052663429.0,,,,,,
2604,Tooheys Brewing,,Tooheys Old,1068104738.0,,,,,,
2605,,,Sea Dog Raspberry Wheat Ale,1270072429.0,,,,,,
2606,,,Brasseurs Biere De Garde,1067784958.0,,,,,,
2607,Stone Arch Brewpub,,Bucky Brau Barley Wine Style Ale,1016760158.0,,,,,,
2608,,,Obolon Lager,1280186800.0,,,,,,
2609,Silver City Brewing Co.,,Big Daddy's Esb,1080261668.0,,,,,,
2610,,,Macfarlanes Scotch Ale,1144473793.0,,,,,,
2611,,,Panther Lake Porter,1156652130.0,,,,,,
2612,,,Gold Mountain Pilsner,1185070500.0,,,,,,
2613,,,Clear Creek Pale Ale,1156650888.0,,,,,,
2614,,,Bavarian Style Hefeweizen,1257024517.0,,,,,,
2615,,,Silver City Irish Stout,1112989705.0,,,,,,
2616,,,Copper Mountain Bock,1079925128.0,,,,,,
2617,,,Mudpuppy Porter,1160503692.0,,,,,,
2618,,,Happy Heron Pale Ale,1240883933.0,,,,,,
2619,Browar Dojlidy S.a.,,Dojlidy Magnat,1164522478.0,,,,,,
2620,Privat Brauerei Schmucker Ober-mossau Kg,,Schmucker Doppel-bock Dunkel,1117974982.0,,,,,,
2621,,,Raison D'extra,1191008854.0,,,,,,
2622,,,,1054150826.0,,,,,,
2623,Thisted Bryghus,,Limfjordsporter,1276227601.0,,,,,,
2624,,,Bud Ice Light,1298860834.0,,,,,,
2625,,,Balboa Premium Lager,1129202979.0,,,,,,
2626,,,Balboa Ice,1129203109.0,,,,,,
2627,,,Kozlov Stout,1201817777.0,,,,,,
2628,Flossmoor Station Restaurant & Brewery,,Zephyr Golden Ale,1276800528.0,,,,,,
2629,,,Gandy Dancer Honey Ale,1298849593.0,,,,,,
2630,,,Station Master Wheat Ale,1213591228.0,,,,,,
2631,,,Chessie Cherry Wheat Ale,1283632964.0,,,,,,
2632,,,Roundhouse Raspberry,1214857665.0,,,,,,
2633,,,Panama Limited Red Ale,1113871712.0,,,,,,
2634,,,Iron Horse Stout,1205123256.0,,,,,,
2635,,,Honey Act Your Sage Triple,1067950249.0,,,,,,
2636,,,"Belgian White ""le Chien Blanc""",1310947332.0,,,,,,
2637,,,Imperial Eclipse Stout,1079327490.0,,,,,,
2638,,,Kilt Kicker Wee Heavy,1071161749.0,,,,,,
2639,,,Todd & Jeff's Excellent Ipa,1059226826.0,,,,,,
2640,,,Black Knight,1049455358.0,,,,,,
2641,,,Big Red One,1090900631.0,,,,,,
2642,"Cerveceria Del Baru Panama, S.a.",,Panama,1316378831.0,,,,,,
2643,,,Soberana Extra Fina,1016992846.0,,,,,,
2644,Dutch Export Breweries,,Navigator Of Holland,1162966202.0,,,,,,
2645,Oasis Brewery,,Oasis Esb,1017006854.0,,,,,,
2646,,,Crystal Diplomat Dark Beer,1185151211.0,,,,,,
2647,Brasserie De Silenrieux S.a. (chez L'père Sarrasin),,Joseph Spelt Ale,1017080142.0,,,,,,
2648,,,Sara Buckwheat Ale,1172071840.0,,,,,,
2649,,,Hopasaurus Rex,1128653460.0,,,,,,
2650,,,Long Trail Ale,1145306678.0,,,,,,
2651,,,John Courage Amber,1099606296.0,,,,,,
2652,,,Matty Oconnor's Irish Stout,1111468864.0,,,,,,
2653,,,Experimental Pale Ale,1047760177.0,,,,,,
2654,Kawartha Lakes Brewing Company Ltd.,,Klb Nut Brown Ale,1073244763.0,,,,,,
2655,,,Brown Bear,1312775648.0,,,,,,
2656,,,Valencia Wheat,1064642581.0,,,,,,
2657,,,Meyer Esb,1270321637.0,,,,,,
2658,,,San Miguel Cerveza Negra,1313528381.0,,,,,,
2659,,,Dear Abbey,1017169051.0,,,,,,
2660,,,Terrier Scottish Ale,1237666970.0,,,,,,
2661,,,Yawkey Way Wheat Bock,1017169236.0,,,,,,
2662,,,9 Alarm Amber,1032459483.0,,,,,,
2663,,,Custom's House Ipa,1024312893.0,,,,,,
2664,Red Star Brewery & Grill,,,1104335066.0,,,,,,
2665,,,Kolsch,1074835453.0,,,,,,
2666,,,Totally Dirt Cheap Beer,1203272103.0,,,,,,
2667,,,Kellerbier,1046160290.0,,,,,,
2668,,,Pinstripe Red Ale,1326140784.0,,,,,,5.15
2669,,,Home Town Blonde,1184290353.0,,,,,,
2670,Privatbrauerei Frankenheim,,Frankenheim Alt,1080498251.0,,,,,,
2671,,,Winter Porter,1040076521.0,,,,,,
2672,,,Hsb (horndean Special Bitter),1111223374.0,,,,,,
2673,,,Newport Storm Hurricane Amber Ale,1081085886.0,,,,,,
2674,Nodding Head Brewery And Restaurant,,Monkey Knife Fight,1058190357.0,,,,,,
2675,,,Hop Rod Rye,1302220395.0,,,,,,
2676,,,Schlitz O.m.l. (malt Liquor),1218934652.0,,,,,,
2677,South Shore Brewery,,,1175968229.0,,,,,,
2678,,,Coastline,1094980334.0,,,,,,
2679,,,Whitewater Weizen,1220963368.0,,,,,,
2680,,,Safari Amber,1173114894.0,,,,,,
2681,,,Bulldog Nut Brown,1076553104.0,,,,,,
2682,,,Quake Honey Cream Ale,1063591306.0,,,,,,
2683,,,Quake Chocolate Cream Ale,1105854536.0,,,,,,
2684,Upstream Brewing Company - Old Market,,Gold Coast Blonde,1064461053.0,,,,,,
2685,,,Honey-raspberry Ale,1164220076.0,,,,,,
2686,,,Railyard Ale,1039813795.0,,,,,,
2687,,,Firehouse Esb,1066529597.0,,,,,,
2688,,,,1235170588.0,,,,,,
2689,,,Dundee Export 90 Scotch Ale,1244131493.0,,,,,,
2690,,,Blackstone Stout,1247272761.0,,,,,,
2691,,,Dubbel Trouble,1020316114.0,,,,,,
2692,,,Weisser Hirsch Allgäuer Weizen,1299805216.0,,,,,,
2693,,,Holzar-bier,1205624479.0,,,,,,
2694,,,Neuschwansteiner,1031932396.0,,,,,,
2695,,,Left Field Lager,1017504134.0,,,,,,
2696,,,Celtic Irish Red,1289533594.0,,,,,,
2697,Anacortes Brewery & Rockfish Grill,,Anacortes Pilsner,1250887535.0,,,,,,
2698,Oaken Barrel Brewing Company,,Gnaw Bone Pale Ale,1245009109.0,,,,,,
2699,,,Foster's Lightice,1093118488.0,,,,,,
2700,,,Anacortes Amber,1258952558.0,,,,,,
2701,,,Anacortes Porter,1308025854.0,,,,,,
2702,,,Anacortes Ipa,1121467457.0,,,,,,
2703,,,Anacortes Stout,1109125494.0,,,,,,
2704,,,Noel Lager,1237586140.0,,,,,,
2705,,,Anacortes Maibock,1186854280.0,,,,,,
2706,,,Anacortes Dobbelbock,1050504396.0,,,,,,8.25
2707,,,Anacortes Belgian Ale,1210865862.0,,,,,,
2708,,,Anacortes Hefewezien,1270240423.0,,,,,,
2709,,,Anacortes Vienna,1237336441.0,,,,,,
2710,,,Anacortes Oktoberfest,1293146796.0,,,,,,
2711,,,Inside Passage Ale,1137357943.0,,,,,,
2712,,,Highland Scotch Ale,1040217246.0,,,,,,
2713,,,Boundary Bay Amber Ale,1304047501.0,,,,,,
2714,,,Boundary Bay Dunkles Bock,1239146670.0,,,,,,
2715,Elliott Bay Brewing Co.,,Alembic Pale Ale,1095212151.0,,,,,,
2716,,,Elliott Bay Ipa,1178141395.0,,,,,,
2717,,,Luna Weizen,1232341250.0,,,,,,
2718,,,No Doubt Stout,1095212681.0,,,,,,
2719,,,,1178141128.0,,,,,,
2720,,,Demolition Strong Ale,1260441941.0,,,,,,
2721,,,Acclaim Champion Beer,1021399533.0,,,,,,
2722,,,Cranberry Special Ale,1018302886.0,,,,,,
2723,,,Snowshoe Red Ale,1313346991.0,,,,,,
2724,,,Back Country Scottish Ale,1029780404.0,,,,,,
2725,Kona Brewing Co.,,Lilikoi Wheat Ale,1152982588.0,,,,,,
2726,,,Willimantic V.e.g. Ipa,1128141572.0,,,,,,
2727,,,Faxe 1901 Classic,1041445715.0,,,,,,
2728,Mythos Breweries S.a.,,Mythos Hellenic Lager Beer,1176562561.0,,,,,,
2729,,,Pater Lieven Tripel,1119028013.0,,,,,,
2730,Brauerei Gilde,,Broyhan,1102125270.0,,,,,,
2731,,,Yuengling Light Beer,1171232098.0,,,,,,
2732,,,Solstice Lagunator Ale,1027926659.0,,,,,,
2733,Typhoon Restaurant & Brewery,,Typhoon Pale Ale,1079718235.0,,,,,,
2734,,,Typhoon Winter Wheat,1050757346.0,,,,,,
2735,,,Typhoon Golden Ale,1050756887.0,,,,,,
2736,,,Key West Pilsner Light,1041446863.0,,,,,,
2737,"Kelly's Caribbean Bar, Grill & Brewery",,Kelly's Southern Clipper,1236832653.0,,,,,,
2738,Olde Wyndham Brewery,,Olde Wyndham Grim Reaper Barley Wine,1044478759.0,,,,,,
2739,"Inveralmond Brewery Ltd., The",,Lia Fail,1089239366.0,,,,,,
2740,,,Stone Tepee Pale Ale,1188183863.0,,,,,,
2741,Martha's Vineyard Ales,,Martha's Vineyard Extra Stout,1042523828.0,,,,,,
2742,,,Blue Point Pilsner,1245879274.0,,,,,,
2743,,,Black Collar Stout,1076511905.0,,,,,,
2744,,,Harwood Porter,1064253986.0,,,,,,
2745,,,,1063367241.0,,,,,,
2746,,,Raven Stout,1017771145.0,,,,,,
2747,,,Weathertop Doppelbock,1145020511.0,,,,,,8.3
2748,Caldera Brewing Company,,Caldera Pilsener Bier,1017782385.0,,,,,,
2749,,,Ossian,1107804550.0,,,,,,
2750,Northwoods Brewpub And Grill,,Red Cedar Ale,1017793965.0,,,,,,
2751,,,Dry Stout,1238122379.0,,,,,,
2752,,,Zôn,1232600301.0,,,,,,
2753,,,Irish Ale,1265513241.0,,,,,,
2754,,,Schneider Weisse Original,1119391163.0,,,,,,
2755,,,White Weasel Ale,1017842702.0,,,,,,
2756,,,Banchee Extra Pale Ale,1044722547.0,,,,,,
2757,,,Schmidt's Light,1235109195.0,,,,,,
2758,,,Bumbl'n Bubbas Buzz'n Brew,1071067994.0,,,,,,
2759,,,Half Moon Gold Ale,1191529347.0,,,,,,
2760,,,Lil' Bandit Brown Ale,1251069007.0,,,,,,
2761,,,Poplar Porter,1191375025.0,,,,,,
2762,Brasserie De La Soif,,Contrebandier,1228853654.0,,,,,,
2763,Little Apple Brewing Company,,Prairie Pale Ale,1173659547.0,,,,,,
2764,,,Zwickel,1115696907.0,,,,,,
2765,,,Genesee Ice Beer,1255650431.0,,,,,,
2766,,,Pony Express Rattlesnake Pale Ale,1123900264.0,,,,,,
2767,,,Old Jubilation,1171504320.0,,,,,,
2768,,,,1018002493.0,,,,,,
2769,Yellowstone Valley Brewing Co.,,Wild Fly Ale,1035574624.0,,,,,,
2770,,,,1018013578.0,,,,,,
2771,,,Wells Ipa,1105084517.0,,,,,,
2772,Fratello's & Fox River Brewing,,Trolleycar Stout,1119341031.0,,,,,,
2773,,,Schneider Weisse Kristall,1291017153.0,,,,,,
2774,,,Union Station Ipa,1018076189.0,,,,,,
2775,,,Troy Brown Ale,1018077162.0,,,,,,
2776,Gray's Brewing Company,,,1161438392.0,,,,,,5.21
2777,Topvar Brewery,,Topvar 11.5% Svetlé,1053637821.0,,,,,,
2778,,,Pearl Lager,1148173649.0,,,,,,4.73
2779,,,Boston Scotch Ale,1228577921.0,,,,,,
2780,,,Boylston Street Bock,1018161627.0,,,,,,
2781,,,Big Foot Stout,1150579954.0,,,,,,
2782,,,Rhoades Scholar Stout,1185616517.0,,,,,,
2783,,,Buster Nut Brown Ale,1239501019.0,,,,,,
2784,,,Mystic Seaport Pale Ale,1018205896.0,,,,,,
2785,Privatbrauerei Christian Fiedler,,Bock Im Stein,1092341056.0,,,,,,
2786,,,Love Stout,1062070980.0,,,,,,
2787,,,Stiegl Goldbräu,1124669199.0,,,,,,
2788,,,Bob's '47 Oktoberfest,1223160712.0,,,,,,
2789,,,Nutcracker Ale,1323832169.0,,,,,,
2790,Upland Brewing Company,,Dragonfly Ipa,1249764162.0,,,,,,
2791,Mad Anthony Brewing Company,,Big Daddy Brown Ale,1018283632.0,,,,,,
2792,,,Edel-pils,1075693902.0,,,,,,
2793,,,Gilde Pilsener,1143450181.0,,,,,,
2794,Little Creatures Brewing Company,,Little Creatures Pale Ale,1166797521.0,,,,,,
2795,,,The Red Macgregor,1129501063.0,,,,,,
2796,,,Casablanca,1028729772.0,,,,,,
2797,,,Rudyard's Rare Barley Wine,1085779367.0,,,,,,
2798,,,Leinenkugel's Original,1044373094.0,,,,,,
2799,,,Greene King Ipa Draught Bitter,1123711443.0,,,,,,
2800,,,Hollandia,1152156333.0,,,,,,
2801,Black Diamond Brewing Co.,,Black Diamond India Pale Ale,1018392479.0,,,,,,
2802,,,Black Diamond Pale Ale,1243385555.0,,,,,,
2803,Bar Harbor Brewing Company,,Cadillac Mountain Stout,1262175551.0,,,,,,
2804,,,Thunder Hole Ale,1171906965.0,,,,,,
2805,,,Harbor Lighthouse Ale,1115241761.0,,,,,,3.2
2806,Wynkoop Brewing Company,,Roundhouse,1305071837.0,,,,,,
2807,,,Black Widow Oatmeal Stout,1103486451.0,,,,,,
2808,,,Wachusett Nut Brown Ale,1120792922.0,,,,,,
2809,,,Adelscott,1075207147.0,,,,,,
2810,Engel Brauerei,,Trompe La Mort,1027323551.0,,,,,,
2811,,,Yuengling Light Lager,1162740283.0,,,,,,
2812,Pardubický Pivovar A.s.,,Porter Boom,1068827498.0,,,,,,
2813,Pivovar Zlaty Bazant A.s.,,Golden Pheasant,1294875390.0,,,,,,
2814,,,Olde English 800,1102129362.0,,,,,,
2815,,,No. 1,1018558886.0,,,,,,
2816,,,Big Easy Imperial Maibock,1232912012.0,,,,,,
2817,,,Hacker-pschorr Weisse Bock,1086483590.0,,,,,,
2818,,,Old Testy Stout,1018614640.0,,,,,,
2819,,,Bluebeery Flavored Ale,1018628426.0,,,,,,
2820,,,Xxx Black Angus Stout,1018638832.0,,,,,,
2821,Snoqualmie Falls Brewing Company & Taproom,,Wildcat India Pale Ale,1185933771.0,,,,,,
2822,,,Copperhead American Pale Ale,1048611032.0,,,,,,
2823,,,Snoqualmie Esb,1199034317.0,,,,,,
2824,,,Steam Train Porter,1147074419.0,,,,,,
2825,,,Spring Fever Belgian Style Grand Cru Ale,1155940633.0,,,,,,
2826,,,Bower City Pale Ale,1097182308.0,,,,,,
2827,,,Hell For Certain,1090557413.0,,,,,,
2828,,,Dubbel Crossxd,1018715704.0,,,,,,
2829,,,Clipper City Winter Ale,1035555928.0,,,,,,
2830,,,Tennent's Velvet,1157057503.0,,,,,,
2831,,,Utica Club Light,1153875290.0,,,,,,
2832,,,Lacrosse Light,1132951615.0,,,,,,
2833,,,"5,000 Year Ale",1098040400.0,,,,,,
2834,,,Chief Blackhawk Porter,1249342002.0,,,,,,
2835,,,Troutbrook Ipa,1052630237.0,,,,,,
2836,,,Brador,1324583512.0,,,,,,
2837,,,City Steam Ale,1053896698.0,,,,,,
2838,,,City Steam Vampire Ale,1132792292.0,,,,,,
2839,,,Sierra Nevada Pale Bock,1080625520.0,,,,,,
2840,,,Schell's Hefeweizen,1249167956.0,,,,,,
2841,,,Amstel Bright,1136418037.0,,,,,,
2842,Swans Brewpub / Buckerfield Brewery,,Swans Oatmeal Stout,1176329571.0,,,,,,
2843,,,Swans Black & Tan,1018898152.0,,,,,,
2844,,,Saison De Pipaix,1234660867.0,,,,,,
2845,Carolina Brewing Company,,Carolina Pale Ale,1109986365.0,,,,,,
2846,,,Side Pocket,1117963232.0,,,,,,
2847,,,Oberdorfer Hefeweizen Hell,1237750273.0,,,,,,
2848,,,Hofbräu Maibock (urbock),1148390229.0,,,,,,
2849,,,Monterey Pale Ale (mpa),1118494155.0,,,,,,
2850,Southend Brewery & Smokehouse,,Southend Blonde,1209304377.0,,,,,,
2851,,,East Bay Brown,1245900455.0,,,,,,
2852,,,O' Ryans Oatmeal Stout,1210632582.0,,,,,,
2853,,,City Lager,1186090146.0,,,,,,
2854,Nimbus Brewing Company,,Nimbus Old Monkeyshine,1276843506.0,,,,,,
2855,,,Nimbus Dirty Güera (blonde) Ale,1213906596.0,,,,,,
2856,,,Nimbus Oatmeal Stout,1282596366.0,,,,,,
2857,,,Nimbus Pale Ale,1102684310.0,,,,,,
2858,,,Nimbus Belgian Wit,1063835112.0,,,,,,
2859,,,Chouffe Biere De Mars,1139689181.0,,,,,,
2860,Tbonz Gill & Grill,,Tbonz Ipa,1019130993.0,,,,,,
2861,,,Tbonz Raspberry Wheat,1060504446.0,,,,,,
2862,Brasserie Theillier,,La Bavaisienne,1095100920.0,,,,,,
2863,,,Augustiner Lager,1243266141.0,,,,,,
2864,,,Pioneer Lager,1070461630.0,,,,,,
2865,,,Hands Off Maibock,1116885793.0,,,,,,
2866,Dogwood Brewing Company,,Dogwood Bock,1090467591.0,,,,,,
2867,,,Old Salty Barleywine 2000,1075494332.0,,,,,,
2868,,,Schöfferhofer Hefeweizen,1120077174.0,,,,,,
2869,Milly's Tavern,,Milly's Manch-vegas Ipa,1219524758.0,,,,,,
2870,,,Milly's Bo's Scotch Ale,1301936850.0,,,,,,
2871,,,,1052391395.0,,,,,,
2872,Iron Hill Brewery & Restaurant,,,1017229777.0,,,,,,
2873,,,Wee Heavy Scotch Ale,1165105762.0,,,,,,
2874,,,Imperial Ipa,1019335003.0,,,,,,
2875,,,Ironbound Ale,1218504337.0,,,,,,
